keyword,keyword_zh,sentence_1,sentence_1_zh,sentence_2,sentence_2_zh,school,youtube
jump rope (n.),跳繩,The students use a long rope for jumping rope.,彰化縣芳苑鄉新寶國小,They must jump in sync to keep the rhythm and successfully jump rope.,他們必須同步跳躍才能保持節奏並成功跳繩。,彰化縣芳苑鄉新寶國小,https://www.youtube.com/watch?v=wI-UCfjEwYo
point (v.),點數,"Students earn points in class for good behavior and achievements, which are added to their learning passports.",學生在課堂上因良好的行為和成就而獲得積分，這些積分將被添加到他們的學習護照中。,"At the end of the term, they can exchange these points for prizes.",學期結束時，他們可以用這些積分兌換獎品。,彰化縣芳苑鄉新寶國小,https://www.youtube.com/watch?v=Lzs5ihQgzME
typing competition (n.),打字比賽,Students are practicing their typing skills in the English typing competition.,學生在英語打字比賽中練習打字技巧。,This typing competition helps them type faster and improve their English spelling.,這場打字比賽可以幫助他們提高打字速度並提高英語拼字能力。,彰化縣芳苑鄉新寶國小,https://www.youtube.com/watch?v=B_Shx7CZ9T0
write (v.),寫作,The teacher is guiding the students on how to write.,老師正在指導學生如何寫作。,Writing helps improve the students' communication skills.,寫作有助於提升學生的溝通能力。,彰化縣彰化市大成國小,https://www.youtube.com/watch?v=Bse5riowBhM
jump rope (n.),跳繩,The students use a long jump rope for jumping rope.,學生們用一條長繩子來跳繩。,They must jump in sync to keep the rhythm and successfully jump rope.,他們必須同步跳躍才能保持節奏並成功跳繩。,彰化縣彰化市大成國小,https://www.youtube.com/watch?v=5QCxkGe_Klk
hurdling (n.),跨欄賽跑,The students are practicing hurdling on the track.,學生們正在跑道上練習跨欄運動。,Hurdling helps kids improve their balance and coordination.,跨欄運動可以幫助孩子提昇平衡能力和協調能力。,彰化縣芳苑鄉新寶國小,https://www.youtube.com/watch?v=zsNksqb3duY
book (n.),書,The school library is giving away old books to make space for new ones.,學校圖書館正在贈送舊書，為新書騰出空間。,Students are encouraged to pick their favorite books to take home for free.,我們鼓勵學生挑選自己喜歡的書免費帶回家。,彰化縣田中鎮三潭國小,https://www.youtube.com/watch?v=KzMSPdYa6FM
Chinese New Year (n.),中國新年,Students gather in the auditorium to learn about Chinese New Year in English.,學生們聚集在禮堂，用英語學習中國新年。,The teacher introduces English vocabulary related to Chinese New Year.,老師介紹與中國新年有關的英語詞彙。,彰化縣芳苑鄉新寶國小,https://www.youtube.com/watch?v=Zp_OixKGNoU
relax (v.),放鬆,Students relax their eyes by looking far at the sky and then near at their fingers.,學生們透過遠看天空然後近看手指來放鬆眼睛。,This simple eye exercise helps relax and refresh their vision.,這個簡單的眼保健操有助於放鬆和刷新他們的視力。,彰化縣田中鎮三潭國小,https://www.youtube.com/watch?v=gfdZsAJFu6o
currency (n.),貨幣,They compare the currencies while having a discussion.,他們一邊討論一邊比較貨幣。,The students examine different currencies from different parts of the world.,學生檢視來自世界不同地區的不同貨幣。,彰化縣芳苑鄉路上國小,https://www.youtube.com/watch?v=vmppSkSBATk
hairstylist (n.),髮型師,The hairstylists came to the school to give free haircuts to students.,髮型師來到學校為學生免費理髮。,The students were happy to get a new haircut from the hairstylists.,學生們很高興能得到髮型師的新髮型。,彰化縣竹塘鄉長安國小,https://www.youtube.com/watch?v=PbxVJxf3aKY
combine harvester (n.),聯合收割機,A combine harvester moves back and forth in the field.,聯合收割機在田裡來回移動。,"When the combine harvester is full, the harvested rice is transferred to a truck.",當聯合收割機裝滿時，收穫的稻米被轉移到卡車上。,彰化縣芳苑鄉路上國小,https://www.youtube.com/watch?v=KXBEmturTu8
daily routine (n.),日常生活作息,The students are learning about daily routines.,學生們正在學習日常生活作息。,They participate in an activity where they match daily routines with specific times.,他們在進行表達日常生活搭配特定時間的活動。,彰化縣社頭鄉湳雅國小,https://www.youtube.com/watch?v=JHqObbcNgYM
fair (n.),園遊會(2),"The school organized a fair featuring a variety of games, including puzzles and hands-on activities.",學校舉辦了一場以各種遊戲為主題的園遊會，包括拼圖和動手活動。,"At the fair, students visited various booths to play games and collect points.",在展會上，學生們到各個攤位，玩遊戲並收集點數。,彰化縣彰化市中山國小,https://www.youtube.com/watch?v=dQ7NeFoYEWw
saxophone (n.),薩克斯風,Saxophone is a shiny metal instrument that makes music when you blow into it.,薩克斯風是一種閃亮的金屬樂器，當你吹它時就會發出音樂。,"Saxophone is used in jazz, pop, and band music to play beautiful melodies.",薩克斯風用於爵士樂、流行音樂和樂隊音樂中，用來演奏優美的旋律。,彰化縣彰化市中山國小,https://www.youtube.com/watch?v=hYSVd_YWVOY
rub (v.),拓印,They carefully rub over the leaf to show its veins and shape on paper.,他們小心翼翼地拓印葉子，在紙上顯示葉子的紋理和形狀。,The students are learning how to do leaf rubbing with crayons and paper.,學生們正在學習如何用蠟筆和紙拓印樹葉。,彰化縣社頭鄉湳雅國小,https://www.youtube.com/watch?v=19uFuhLszi8
remote control toy (n.),遙控玩具,The students are playing with remote control toys.,學生們正在玩遙控玩具。,They use their tablets to control the remote control toys.,他們使用平板電腦來控制遙控玩具。,彰化縣溪州鄉溪州國小,https://www.youtube.com/watch?v=FYrPfk_Aqzc
celebrate (v.),慶祝,The students celebrate Christmas at school.,學生們在學校慶祝聖誕節。,They celebrate Christmas by singing Christmas songs and playing Christmas music.,他們透過唱聖誕歌曲和演奏聖誕音樂來慶祝聖誕節。,彰化縣芳苑鄉新寶國小,https://www.youtube.com/watch?v=B55Wuw7hCgM
self-assessment (n.),自我評量,The students use tablets for self-assessment.,同學們用平板電腦做自我評量。,The tablets help the students do their self-assessment.,平板電腦讓學生可以做自我評量。,彰化縣竹塘鄉田頭國小,https://www.youtube.com/watch?v=XeKhwhunHRU
rehearsal (n.),排練,Students had a rehearsal for sports day on the track and field.,學生們在操場上為即將到來的運動會進行排練。,"During the rehearsal, they learned to follow commands and move together.",在排練過程中，他們學會了聽從指揮，確保動作協調。,彰化縣永靖鄉福興國小,https://www.youtube.com/watch?v=DEYe98umkeY
camping activity (n.),露營活動,The students are working together to prepare meals during their camping activity.,學生們在露營活動期間一起準備餐點。,"Through this camping activity, they learn cooperation and essential life skills by cooking as a team.",透過這次露營活動，他們透過團隊烹飪學習合作和基本的生活技能。,彰化縣彰化市中山國小,https://www.youtube.com/watch?v=ifI9tFous-8
tent (n.),帳篷,They pull and fix the poles carefully to make the tents stand tall.,他們小心翼翼地拉動、固定住帳桿，讓帳篷矗立起來。,The students are working together to set up tents for their camping trip.,學生們正一起為露營旅行搭建帳篷。,彰化縣彰化市中山國小,https://www.youtube.com/watch?v=cT27enimA7g
Taiwanese (n.),台語,The teacher is teaching Taiwanese in Taiwanese class.,這位老師正在台語課教台語。,The students learn Taiwanese from a story book.,學生們從故事書中學習台語。,彰化縣竹塘鄉田頭國小,https://www.youtube.com/watch?v=8IpTIGZuKCc
activity (n.),活動,The school organized a bicycle licensing activity.,學校舉辦了腳踏車考照活動。,"During the activity, students practiced their cycling skills and learned about safety rules.",在活動中，同學們學習了騎腳踏車的技能，學習了安全規則。,彰化縣芳苑鄉新寶國小,https://www.youtube.com/watch?v=KctNCHPNPao
rake (v.),耙,The student is raking the grass.,這學生正在耙草。,Raking the grass helps it to grow better.,耙草有助於它更好地生長。,彰化縣竹塘鄉田頭國小,https://www.youtube.com/watch?v=6csyXEBAnR8
QR code (n.),QR 碼,The teacher shows the QR code on the screen.,老師將螢幕上的QR code秀給大家掃描。,The students scan the QR code to join the game.,學生們掃QR code加入線上遊戲。,彰化縣竹塘鄉田頭國小,https://www.youtube.com/watch?v=H3w0ppoxc50
math (n.),數學,The students are solving math problems.,學生們正在解決數學問題。,The students are working on their math workbooks.,學生們正在做他們的數學作業本。,彰化縣竹塘鄉田頭國小,https://www.youtube.com/watch?v=IORY28exZ7k
throw (v.),丟,The students compete to see who can throw a softball the farthest.,學生比賽看誰能把壘球丟得最遠。,They enjoy the friendly competition while practicing their throwing skills.,他們一邊享受友善的比賽，一邊練習投擲技巧。,彰化縣永靖鄉福興國小,https://www.youtube.com/watch?v=h0IUGiWPhrI
lawn (n.),草坪,A worker is mowing the lawn at the school.,一名工人正在學校修剪草坪。,"He drives a four-wheeled lawnmower across the lawn, back and forth.",他駕駛著四輪割草機在草坪上來回移動。,彰化縣永靖鄉福興國小,https://www.youtube.com/watch?v=7fPCgv148ow
hula hoop (n.),呼拉圈,The students participate in various activities with hula hoops during gym class.,彰化縣 芳苑鄉新寶國小,They use the hula hoops for exercise.,體育課上，學生們用呼拉圈參加各種活動。,彰化縣芳苑鄉新寶國小,https://www.youtube.com/watch?v=R23Fto8xEl4
unicycle (n.),獨輪車,The students ride unicycles.,學生騎獨輪車。,They hold hands while they ride unicycles.,他們騎獨輪車時手牽手。,彰化縣竹塘鄉田頭國小,https://www.youtube.com/watch?v=E6g0_7Fs3qI
Christmas tree (n.),聖誕樹,The students make Chritsmas trees in art class.,學生在藝術課上製作聖誕樹。,The teachers help them make their Christmas trees with wooden boards and decorative materials,老師們幫他們用木板和裝飾材料製作聖誕樹,彰化縣竹塘鄉長安國小,https://www.youtube.com/watch?v=Rv7wTqYHngU
tchoukball (n.),巧固球,Tchoukball is a sport from Switzerland.,巧固球是一項來自瑞士的運動。,The students are practicing tchoukball.,學生們正在練習巧固球。,彰化縣竹塘鄉田頭國小,https://www.youtube.com/watch?v=aoQ5DPHP7S8
woodcraft (n.),木工,Students make different objects in woodcraft class.,學生在木工課上製作不同的物品。,"Woodcraft teaches valuable skills like carving, shaping, and building with wood.",木工教授寶貴的技能，如雕刻、塑造和用木頭建造。,彰化縣溪州鄉水尾國小,https://www.youtube.com/watch?v=tcao03Jc7IY
